GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
miBanco,com.mibanco.modelo.enums,TipoCuenta,0,21,0,0,0,4,0,1,0,1
miBanco,com.mibanco.modelo.enums,TipoOperacionCliente,0,57,0,0,0,10,0,1,0,1
miBanco,com.mibanco.modelo.enums,TipoOperacionCuenta,0,57,0,0,0,10,0,1,0,1
miBanco,com.mibanco.modelo.enums,TipoOperacionTarjeta,0,63,0,0,0,10,0,1,0,1
miBanco,com.mibanco.modelo.enums,TipoOperacionTransaccion,0,51,0,0,0,9,0,1,0,1
miBanco,com.mibanco.modelo.enums,TipoTarjeta,0,15,0,0,0,3,0,1,0,1
miBanco,com.mibanco.modelo.enums,TipoTransaccion,0,33,0,0,0,6,0,1,0,1
miBanco,com.mibanco.servicio.interna,TarjetaDtoProcesadorServicio,109,0,0,0,26,0,8,0,8,0
miBanco,com.mibanco.servicio.interna,TransaccionOperacionesServicioImpl,486,0,20,0,101,0,42,0,32,0
miBanco,com.mibanco.servicio.interna,BaseServicioImpl,218,0,2,0,39,0,28,0,27,0
miBanco,com.mibanco.servicio.interna,TransaccionDtoProcesadorServicio,100,0,0,0,24,0,5,0,5,0
miBanco,com.mibanco.servicio.interna,TransaccionCrudServicioImpl,169,0,0,0,43,0,26,0,26,0
miBanco,com.mibanco.servicio.interna,ClienteDtoProcesadorServicio,101,0,0,0,22,0,4,0,4,0
miBanco,com.mibanco.servicio.interna,FactoriaServicio,68,0,4,0,20,0,10,0,8,0
miBanco,com.mibanco.servicio.interna,CuentaDtoProcesadorServicio,147,0,0,0,39,0,12,0,12,0
miBanco,com.mibanco.servicio.interna,CuentaServicioImpl,337,0,4,0,68,0,40,0,38,0
miBanco,com.mibanco.servicio.interna,ClienteServicioImpl,248,0,4,0,53,0,30,0,28,0
miBanco,com.mibanco.servicio.interna,AuditoriaServicioImpl,30,0,0,0,9,0,7,0,7,0
miBanco,com.mibanco.servicio.interna,TarjetaServicioImpl,349,0,4,0,79,0,46,0,44,0
miBanco,com.mibanco.vista.interna,ConsolaImpl,15,0,0,0,6,0,3,0,3,0
miBanco,com.mibanco.vista.interna,CuentaVistaImpl,545,0,17,0,116,0,46,0,37,0
miBanco,com.mibanco.vista.interna,TarjetaVistaImpl,582,0,32,0,135,0,51,0,34,0
miBanco,com.mibanco.vista.interna,ClienteVistaImpl,283,0,12,0,69,0,21,0,15,0
miBanco,com.mibanco.vista.interna,BaseVistaImpl,574,0,62,0,125,0,73,0,42,0
miBanco,com.mibanco.vista.interna,factoriaVista,44,0,4,0,14,0,7,0,5,0
miBanco,com.mibanco.util,ValidacionException,9,0,0,0,4,0,2,0,2,0
miBanco,com.mibanco.util,AuditoriaUtil,3,15,0,0,1,3,1,1,1,1
miBanco,com.mibanco.util,ShutdownHookUtil,56,0,2,0,18,0,6,0,5,0
miBanco,com.mibanco.util,ReflexionUtil,3,30,0,4,1,5,1,5,1,3
miBanco,com.mibanco.repositorio.interna,BaseRepositorioImpl,7,350,2,14,4,90,3,35,1,29
miBanco,com.mibanco.repositorio.interna,ClienteRepositorioImpl,5,53,0,0,0,14,1,4,1,4
miBanco,com.mibanco.repositorio.interna,CuentaRepositorioImplWrapper,0,3,0,0,0,1,0,1,0,1
miBanco,com.mibanco.repositorio.interna,ClienteRepositorioImplWrapper,0,3,0,0,0,1,0,1,0,1
miBanco,com.mibanco.repositorio.interna,BaseProcesadorJson,6,114,1,3,2,27,1,8,0,7
miBanco,com.mibanco.repositorio.interna,BaseRepositorioImplWrapper,0,3,0,0,0,1,0,1,0,1
miBanco,com.mibanco.repositorio.interna,AuditoriaRepositorioImpl,176,20,8,0,32,6,27,3,23,3
miBanco,com.mibanco.repositorio.interna,CuentaRepositorioImpl,26,55,0,2,5,15,2,4,2,3
miBanco,com.mibanco.repositorio.interna,AuditoriaRepositorioImplWrapper,3,0,0,0,1,0,1,0,1,0
miBanco,com.mibanco.repositorio.interna,TransaccionRepositorioImpl,139,3,6,0,25,2,20,1,17,1
miBanco,com.mibanco.repositorio.interna,TransaccionRepositorioImplWrapper,3,0,0,0,1,0,1,0,1,0
miBanco,com.mibanco.repositorio.interna,TarjetaRepositorioImplWrapper,0,3,0,0,0,1,0,1,0,1
miBanco,com.mibanco.repositorio.interna,TarjetaRepositorioImpl,26,49,0,0,5,15,2,4,2,4
miBanco,com.mibanco.repositorio.interna,BaseProcesadorJsonWrapper,0,3,0,0,0,1,0,1,0,1
miBanco,com.mibanco.repositorio.interna,RepositorioFactoria,12,48,1,3,4,14,5,4,4,3
miBanco,com.mibanco.modelo,Cuenta,6,60,1,1,2,22,1,3,0,3
miBanco,com.mibanco.modelo,Tarjeta,0,44,0,0,0,19,0,3,0,3
miBanco,com.mibanco.modelo,Cliente,0,78,0,0,0,21,0,3,0,3
miBanco,com.mibanco.modelo,Transaccion,0,49,0,4,0,18,0,4,0,2
miBanco,com.mibanco.modelo,RegistroAuditoria,0,78,0,0,0,25,0,3,0,3
miBanco,com.mibanco.dto.mapeador,TarjetaMapeador,0,150,0,4,0,33,0,17,0,15
miBanco,com.mibanco.dto.mapeador,CuentaMapeador,0,156,0,4,0,35,0,17,0,15
miBanco,com.mibanco.dto.mapeador,TransaccionMapeador,0,127,0,0,0,31,0,15,0,15
miBanco,com.mibanco.dto.mapeador,ClienteMapeador,0,133,0,0,0,33,0,15,0,15
miBanco,com.mibanco,Main,173,0,2,0,61,0,7,0,6,0
miBanco,com.mibanco.dto,TransaccionDTO,0,32,0,0,0,9,0,1,0,1
miBanco,com.mibanco.dto,CuentaDTO,0,75,0,4,0,22,0,7,0,5
miBanco,com.mibanco.dto,RespuestaDTO,0,40,0,0,0,16,0,4,0,4
miBanco,com.mibanco.dto,TarjetaDTO,0,74,0,0,0,23,0,5,0,5
miBanco,com.mibanco.dto,ClienteDTO,0,80,0,0,0,24,0,5,0,5
